0.0,-6.989524144498766e-10
0.5,-6.98952228848636e-10
1.0,-6.989520723913962e-10
1.5,-6.989519441153654e-10
2.0,-6.989518432334138e-10
2.5,-6.989517691288225e-10
3.0,-6.989517213510686e-10
3.5,-6.989516996126973e-10
4.0,-6.98951703787294e-10
4.5,-6.989517339085902e-10
5.0,-6.989517901706899e-10
5.5,-6.989518729294339e-10
6.0,-6.989519827048789e-10
6.5,-6.989521201848756e-10
7.0,-6.989522862297117e-10
7.5,-6.989524818777755e-10
8.0,-6.989527083521632e-10
8.5,-6.989529670681447e-10
9.0,-6.989532596413527e-10
9.5,-6.98953587896524e-10
10.0,-6.989539538765676e-10
10.5,-6.989543598516625e-10
11.0,-6.989548083280041e-10
11.5,-6.989553020557138e-10
12.0,-6.989558440353044e-10
12.5,-6.989564375219392e-10
13.0,-6.989570860265486e-10
13.5,-6.989577933126612e-10
14.0,-6.989585633875832e-10
14.5,-6.989594004862828e-10
15.0,-6.989603090460695e-10
15.5,-6.989612936698534e-10
16.0,-6.989623590754724e-10
16.5,-6.989635100282993e-10
17.0,-6.989647512541099e-10
17.5,-6.989660873290538e-10
18.0,-6.989675225435686e-10
18.5,-6.989690607372897e-10
19.0,-6.989707051024795e-10
19.5,-6.989724579543877e-10
20.0,-6.989743204682473e-10
20.5,-6.989762923845106e-10
21.0,-6.989783716864198e-10
21.5,-6.98980554257189e-10
22.0,-6.989828335278621e-10
22.5,-6.989852001312628e-10
23.0,-6.989876415820679e-10
23.5,-6.989901420075957e-10
24.0,-6.989926819578389e-10
24.5,-6.989952383259483e-10
25.0,-6.989977844109913e-10
25.5,-6.990002901525888e-10
26.0,-6.990027225612883e-10
26.5,-6.990050463588255e-10
27.0,-6.990072248287829e-10
27.5,-6.990092208611784e-10
28.0,-6.990109981554687e-10
28.5,-6.990125225272811e-10
29.0,-6.990137632472729e-10
29.5,-6.990146943284902e-10
30.0,-6.990152956736919e-10
30.5,-6.990155539979665e-10
31.0,-6.99015463455049e-10
31.5,-6.990150259170468e-10
32.0,-6.990142508847355e-10
32.5,-6.990131550357617e-10
33.0,-6.990117614474371e-10
33.5,-6.990100985556242e-10
34.0,-6.990081989287423e-10
34.5,-6.990060979445893e-10
35.0,-6.990038324571539e-10
35.5,-6.990014395320071e-10
36.0,-6.989989553141448e-10
36.5,-6.989964140738367e-10
37.0,-6.989938474566536e-10
37.5,-6.98991283945576e-10
38.0,-6.989887485276265e-10
38.5,-6.989862625456698e-10
39.0,-6.989838437082895e-10
39.5,-6.989815062266369e-10
40.0,-6.989792610464504e-10
40.5,-6.989771161450971e-10
41.0,-6.989750768669136e-10
41.5,-6.989731462744083e-10
42.0,-6.989713254975437e-10
42.5,-6.9896961406784e-10
43.0,-6.989680102281336e-10
43.5,-6.98966511212341e-10
44.0,-6.989651134924156e-10
44.5,-6.989638129918825e-10
45.0,-6.989626052669378e-10
45.5,-6.98961485657184e-10
46.0,-6.989604494087383e-10
46.5,-6.989594917728041e-10
47.0,-6.989586080828763e-10
47.5,-6.989577938136958e-10
48.0,-6.989570446248537e-10
48.5,-6.989563563917233e-10
49.0,-6.989557252260736e-10
49.5,-6.989551474884384e-10
50.0,-6.9895461979402e-10
50.5,-6.989541390136277e-10
51.0,-6.989537022709147e-10
51.5,-6.989533069369469e-10
52.0,-6.989529506229547e-10
52.5,-6.989526311719486e-10
53.0,-6.989523466497492e-10
53.5,-6.989520953358633e-10
54.0,-6.989518757145398e-10
54.5,-6.989516864662681e-10
55.0,-6.989515264599229e-10
55.5,-6.98951394745697e-10
56.0,-6.989512905489391e-10
56.5,-6.989512132649768e-10
57.0,-6.989511624549792e-10
57.5,-6.989511378429098e-10
58.0,-6.989511393135805e-10
58.5,-6.989511669118324e-10
59.0,-6.989512208428525e-10
59.5,-6.989513014736129e-10
60.0,-6.989514093354277e-10
60.5,-6.989515451276136e-10
61.0,-6.989517097222025e-10
61.5,-6.989519041696748e-10
62.0,-6.989521297056347e-10
62.5,-6.989523877583298e-10
63.0,-6.989526799568859e-10
63.5,-6.989530081400829e-10
64.0,-6.989533743654356e-10
64.5,-6.989537809182832e-10
65.0,-6.989542303204944e-10
65.5,-6.989547253383016e-10
66.0,-6.989552689886392e-10
66.5,-6.98955864543217e-10
67.0,-6.989565155293757e-10
67.5,-6.989572257265765e-10
68.0,-6.989579991571202e-10
68.5,-6.989588400694589e-10
69.0,-6.989597529121497e-10
69.5,-6.989607422962226e-10
70.0,-6.989618129434343e-10
70.5,-6.989629696175951e-10
71.0,-6.989642170359378e-10
71.5,-6.989655597573723e-10
72.0,-6.989670020444654e-10
72.5,-6.989685476962193e-10
73.0,-6.989701998492426e-10
73.5,-6.989719607457644e-10
74.0,-6.989738314683436e-10
74.5,-6.989758116430102e-10
75.0,-6.989778991151427e-10
75.5,-6.989800896055963e-10
76.0,-6.989823763584474e-10
76.5,-6.989847497960736e-10
77.0,-6.989871972019389e-10
77.5,-6.989897024559689e-10
78.0,-6.989922458512887e-10
78.5,-6.989948040236434e-10
79.0,-6.989973500252727e-10
79.5,-6.989998535725649e-10
80.0,-6.99002281490789e-10
80.5,-6.990045983692424e-10
81.0,-6.990067674262093e-10
81.5,-6.990087515660042e-10
82.0,-6.990105145911982e-10
82.5,-6.990120225140768e-10
83.0,-6.990132448946825e-10
83.5,-6.99014156121236e-10
84.0,-6.990147365443513e-10
84.5,-6.990149733810325e-10
85.0,-6.990148613180585e-10
85.5,-6.990144027662616e-10
86.0,-6.990136077448886e-10
86.5,-6.990124934055423e-10
87.0,-6.990110832342808e-10
87.5,-6.990094059948689e-10
88.0,-6.990074944931256e-10
88.5,-6.990053842503002e-10
89.0,-6.990031121723023e-10
89.5,-6.990007152925098e-10
90.0,-6.98998229650836e-10
90.5,-6.989956893532549e-10
91.0,-6.989931258366153e-10
91.5,-6.989905673454789e-10
92.0,-6.989880386124419e-10
92.5,-6.98985560721951e-10
93.0,-6.989831511300823e-10
93.5,-6.989808238090781e-10
94.0,-6.989785894848472e-10
94.5,-6.989764559375052e-10
95.0,-6.989744283384886e-10
95.5,-6.989725096021393e-10
96.0,-6.989707007343005e-10
96.5,-6.989690011649613e-10
97.0,-6.9896740905606e-10
97.5,-6.989659215790106e-10
98.0,-6.989645351593168e-10
98.5,-6.989632456877881e-10
99.0,-6.989620486994354e-10
99.5,-6.98960939522177e-10
100.0,-6.989599133981308e-10
100.5,-6.989589655805827e-10
101.0,-6.989580914098212e-10
101.5,-6.989572863709191e-10
102.0,-6.989565461363777e-10
102.5,-6.989558665962538e-10
103.0,-6.989552438781436e-10
103.5,-6.989546743590356e-10
104.0,-6.989541546708285e-10
104.5,-6.989536817009693e-10
105.0,-6.989532525894765e-10
105.5,-6.989528647233503e-10
106.0,-6.98952515729231e-10
106.5,-6.989522034649546e-10
107.0,-6.989519260105598e-10
107.5,-6.989516816591669e-10
108.0,-6.989514689080561e-10
108.5,-6.989512864502092e-10
109.0,-6.989511331665011e-10
109.5,-6.98951008118693e-10
110.0,-6.989509105433401e-10
110.5,-6.989508398466833e-10
111.0,-6.989507956005901e-10
111.5,-6.989507775395773e-10
112.0,-6.989507855589506e-10
112.5,-6.989508197140625e-10
113.0,-6.989508802207072e-10
113.5,-6.989509674566376e-10
114.0,-6.989510819642041e-10
114.5,-6.989512244540845e-10
115.0,-6.989513958100749e-10
115.5,-6.989515970948904e-10
116.0,-6.989518295568976e-10
116.5,-6.989520946376931e-10
117.0,-6.989523939803826e-10
117.5,-6.989527294383799e-10
118.0,-6.989531030845047e-10
118.5,-6.989535172200511e-10
119.0,-6.989539743834529e-10
119.5,-6.989544773580311e-10
120.0,-6.989550291782001e-10
120.5,-6.989556331333449e-10
121.0,-6.989562927684164e-10
121.5,-6.989570118800561e-10
122.0,-6.9895779450686e-10
122.5,-6.989586449120944e-10
123.0,-6.989595675569165e-10
123.5,-6.989605670618376e-10
124.0,-6.989616481538844e-10
124.5,-6.989628155966269e-10
125.0,-6.989640741000294e-10
125.5,-6.989654282069625e-10
126.0,-6.989668821532244e-10
126.5,-6.989684396981803e-10
127.0,-6.989701039236372e-10
127.5,-6.989718769995157e-10
128.0,-6.98973759916263e-10
128.5,-6.989757521859169e-10
129.0,-6.989778515163118e-10
129.5,-6.989800534662136e-10
130.0,-6.989823510930129e-10
130.5,-6.989847346090392e-10
131.0,-6.989871910671687e-10
131.5,-6.989897041009309e-10
132.0,-6.989922537480953e-10
132.5,-6.9899481638919e-10
133.0,-6.989973648326345e-10
133.5,-6.9899986857553e-10
134.0,-6.990022942628338e-10
134.5,-6.990046063573922e-10
135.0,-6.990067680191568e-10
135.5,-6.990087421745172e-10
136.0,-6.990104927375244e-10
136.5,-6.990119859257401e-10
137.0,-6.990131915970988e-10
137.5,-6.990140845229674e-10
138.0,-6.990146455088771e-10
138.5,-6.990148622795388e-10
139.0,-6.990147300590606e-10
139.5,-6.990142517996388e-10
140.0,-6.990134380400069e-10
140.5,-6.990123064052469e-10
141.0,-6.990108807884498e-10
141.5,-6.990091902786812e-10
142.0,-6.990072679160486e-10
142.5,-6.990051493620181e-10
143.0,-6.990028715714116e-10
143.5,-6.990004715429215e-10
144.0,-6.989979852096054e-10
144.5,-6.989954465122112e-10
145.0,-6.989928866788218e-10
145.5,-6.989903337163821e-10
146.0,-6.989878121046455e-10
146.5,-6.989853426718703e-10
147.0,-6.989829426243864e-10
147.5,-6.98980625698666e-10
148.0,-6.989784024041856e-10
148.5,-6.989762803273407e-10
149.0,-6.989742644702435e-10
149.5,-6.989723576026097e-10
150.0,-6.989705606096089e-10
150.5,-6.989688728230146e-10
151.0,-6.989672923270268e-10
151.5,-6.989658162335467e-10
152.0,-6.989644409244501e-10
152.5,-6.989631622604823e-10
153.0,-6.98961975757964e-10
153.5,-6.989608767354784e-10
154.0,-6.989598604333559e-10
154.5,-6.98958922109059e-10
155.0,-6.989580571116514e-10
155.5,-6.98957260938429e-10
156.0,-6.989565292766021e-10
156.5,-6.989558580326417e-10
157.0,-6.989552433516245e-10
157.5,-6.989546816285938e-10
158.0,-6.989541695136869e-10
158.5,-6.989537039124831e-10
159.0,-6.989532819828088e-10
159.5,-6.989529011290072e-10
160.0,-6.989525589944904e-10
160.5,-6.989522534532456e-10
161.0,-6.989519826008204e-10
161.5,-6.989517447452008e-10
162.0,-6.989515383979195e-10
162.5,-6.989513622656335e-10
163.0,-6.989512152423681e-10
163.5,-6.989510964025737e-10
164.0,-6.989510049950929e-10
164.5,-6.989509404381313e-10
165.0,-6.989509023152681e-10
165.5,-6.989508903725575e-10
166.0,-6.989509045167445e-10
166.5,-6.989509448146043e-10
167.0,-6.989510114934135e-10
167.5,-6.989511049425459e-10
168.0,-6.989512257161906e-10
168.5,-6.989513745371535e-10
169.0,-6.989515523017221e-10
169.5,-6.989517600855319e-10
170.0,-6.989519991503658e-10
170.5,-6.989522709517823e-10
171.0,-6.989525771474355e-10
171.5,-6.989529196059075e-10
172.0,-6.989533004158114e-10
172.5,-6.989537218948465e-10
173.0,-6.989541865984191e-10
173.5,-6.98954697327301e-10
174.0,-6.989552571336981e-10
174.5,-6.989558693249441e-10
175.0,-6.989565374638084e-10
175.5,-6.989572653642731e-10
176.0,-6.989580570813218e-10
176.5,-6.989589168930618e-10
177.0,-6.989598492731998e-10
177.5,-6.989608588515989e-10
178.0,-6.989619503603296e-10
178.5,-6.989631285623985e-10
179.0,-6.989643981600687e-10
179.5,-6.989657636796228e-10
180.0,-6.98967229329421e-10
180.5,-6.989687988283826e-10
181.0,-6.98970475202576e-10
181.5,-6.989722605485386e-10
182.0,-6.989741557634018e-10
182.5,-6.989761602438859e-10
183.0,-6.989782715588681e-10
183.5,-6.989804851035533e-10
184.0,-6.989827937471813e-10
184.5,-6.989851874906455e-10
